Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,9,COL,SOFT,1.0,14.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,GAS,SOFT,3.0,10.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,HAD,SOFT,4.0,19.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,HAM,SOFT,4.0,16.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,HUL,SOFT,1.0,9.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,LAW,SOFT,1.0,18.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,LEC,SOFT,2.0,17.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,NOR,SOFT,1.0,21.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,OCO,SOFT,1.0,20.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,PIA,SOFT,1.0,22.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,RUS,SOFT,4.0,20.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,SAI,SOFT,1.0,9.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,TSU,MEDIUM,1.0,8.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,VER,SOFT,4.0,13.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,8,ALB,MEDIUM,5.0,32.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,ALO,HARD,2.0,16.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,ANT,HARD,1.0,69.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,BEA,MEDIUM,1.0,1.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,BOR,MEDIUM,1.0,1.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,COL,HARD,1.0,13.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,GAS,MEDIUM,7.0,1.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,HAD,MEDIUM,1.0,14.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,HAM,HARD,1.0,18.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,HUL,MEDIUM,1.0,12.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,LAW,MEDIUM,1.0,31.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,LEC,MEDIUM,1.0,22.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,NOR,MEDIUM,1.0,19.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,OCO,MEDIUM,1.0,16.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,PIA,MEDIUM,1.0,20.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,RUS,HARD,1.0,53.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,SAI,HARD,1.0,48.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,STR,HARD,2.0,17.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,TSU,SOFT,1.0,1.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
2025,8,VER,HARD,1.0,28.0,22.209375,52.51875,1016.7837499999999,0.0,43.317499999999995,-69.42308412058799,0.9793749999999999
